Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
104995,0,Dungannon Squirrel Drey,11/03/2016,Recently registered,,0,0,0,0,0,"19 Derryveen Crescent, Dungannon, County Tyrone, BT70 1NS",,,02887725008,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
104996,0,Second Donegore Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"18 Ballywee Road, Parkgate, Ballyclare, County Antrim, BT39 0DW",www.seconddonegorepci.co.uk,info@seconddonegorepc.co.uk,02894433676,0,The advancement of religion,General public,Religious activities,
104997,0,Derryloran Squirrel Drey,11/03/2016,Recently registered,,0,0,0,0,0,"13 Loy Street, Cookstown, County Tyrone, BT80 8PZ",,jeanmajor1@btopenworld.com,02886761286,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
104998,0,Belfast Charitable Society,25/04/2016,Recently registered,,0,0,0,0,0,"Clifton House Heritage Centre, 2 North Queen Street, Belfast, BT151ES",http://belfastcharitablesociety.com,lucy@cliftonbelfast.org.uk,02890311067,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Older people,Unemployed/low income,Voluntary and community sector","Education/training,General charitable purposes,Grant making,Heritage/historical,Medical/health/sickness,Relief of poverty",
104999,0,Woodschapel Squirrels,01/04/2016,Recently registered,,0,0,0,0,0,"78 Shore Road, Ballyronan, Magherafelt, County Londonderry, BT456JG",,,02879418200,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105000,0,Templepatrick Presbyterian Church,19/09/2016,Recently registered,,0,0,0,0,0,"C/O 750 Antrim Road, Ballyclare, BT39 0AP",www.templepatrickpci.org,,028 9443 2532,0,The advancement of religion,General public,Religious activities,
105001,0,Clan Mor Surestart,05/04/2016,Recently registered,,0,0,0,0,0,"Maureen Sheehan Centre, 106 Albert Street, Belfast, BT12 4HL",,clanmorestart@btconnect.com,02890327755,45311,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Parents,Preschool (0-5 year olds)","Advice/advocacy/information,Community development,Counselling/support,Education/training,Relief of poverty,Sport/recreation",
105002,0,Castlerock Community Association,07/09/2016,Recently registered,,0,0,0,0,0,"1 Twelve Apostles, Tunnel Brae, Castlerock, County Londonderry, BT51 4RH",http://coastlinecastlerock.org/,castlerockcommunityassociation@gmail.com,028 7084 8816,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","Ex-offenders and prisoners,General public,Volunteers","Community development,Environment/sustainable development/conservation,Heritage/historical,Rural development,Volunteer development",
105003,0,Dundrod Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"1 Leathemstown Road, Dundrod, Crumlin, County Antrim, BT29 4HU",www.dundrodchurch.org,david@dundrodchurch.org,02890825211,0,The advancement of religion,General public,Religious activities,
105004,0,Islandmagee Squirrel Drey,07/04/2016,Recently registered,,0,0,0,0,0,"5 Lunnon Road, Islandmagee, Larne, County Antrim, BT40 3TH",,imageescouts123@btinternet.com,028 9338 2235,0,"The prevention or relief of poverty,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105005,0,Space - Supporting People And Communities Everyday,29/04/2016,Recently registered,,0,0,0,0,0,"24 Monaghan Street, Newry, County Down, BT35 6AA",www.space-ni.com,info@space-ni.com,028 3083 5764,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Learning disabilities,Mental health,Older people,Parents,Preschool (0-5 year olds),Unemployed/low income","Advice/advocacy/information,Community development,Community enterprise,Education/training,Relief of poverty",
105006,0,First Randalstown Guides,14/03/2016,Recently registered,,0,0,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,07925468625,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
105007,0,Age Concern Network Of Newcastle & District,10/05/2016,Recently registered,,0,0,0,0,0,"15, Slievecorragh Avenue, Newcastle, Co Down",,acnnd-admin@btconnect.com,028437 26774,0,"The prevention or relief of poverty,The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,"Advice/advocacy/information,Community enterprise,Relief of poverty,Welfare/benevolent",
105008,0,Lylehill Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"88 Lylehill Road, Templepatrick, Ballyclare, County Antrim, BT39 0HL",www.lylehillchurch.org,church@lylehillchurch.org,02894433168,0,The advancement of religion,General public,Religious activities,
105009,0,Scarva Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"27 Mullaghglass Road, Scarva, Craigavon, County Armagh, BT63 6LA",,,02838840310,0,The advancement of religion,General public,Religious activities,
105010,0,Mourne Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"17 Main Road, Ballymartin, Kilkeel, Newry, Co Down, BT34 4NU",www.mournepc.org,info@mournepc.org,02841762882,0,The advancement of religion,General public,Religious activities,
105011,0,1St Lurgan Squirrels,01/04/2016,Recently registered,,0,0,0,0,0,"The Jethro Centre, 6 Flush Place, Lurgan, Craigavon, County Armagh, BT66 7DT",,,028 3834 5632,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105012,0,Extra Care For Elderly People Limited,31/01/2017,Recently registered,,0,0,0,0,0,"Extra Care, 1 Orchard Way, Antrim, BT41 2RU",www.extra-care.org,info@extra-care.org,028 9448 2939,19253,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Older people","Education/training,Medical/health/sickness",
105013,0,Route To Health And Fitness,23/03/2016,Recently registered,,0,0,0,0,0,"10 Queens Avenue, Ballymoney, County Antrim, BT53 6DF",,mclaughlinjemma@hotmail.com,07872511258,0,The advancement of health or the saving of lives,"Learning disabilities,Mental health,Older people,Physical disabilities,Unemployed/low income","Disability,Education/training,Sport/recreation",
105014,0,Dunmurry Community Association,26/05/2016,Recently registered,,0,0,0,0,0,"Dunmurry Community Centre, Fullerton Park, 248 Glenburn Road, Dunmurry, Belfast, BT17 9BB",www.dunmurryca.co.uk,dunmurryca@gmail.com,028 9062 9054,0,"The prevention or relief of poverty,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Specific areas of deprivation,"Advice/advocacy/information,Relief of poverty",
105015,0,Fibromyalgia Support N. Ireland,21/03/2016,Recently registered,,0,0,0,0,0,"16 Linden Avenue, Coleraine, County Londonderry, BT52 2AN",www.fmsni.org.uk,info@fmsni.org.uk,02890355655,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,General public,Physical disabilities","Advice/advocacy/information,Medical/health/sickness,Research/evaluation",
105016,0,Hydepark Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"88 Lylehill Road, Templepatrick, Ballyclare, County Antrim, BT39 0HL",www.hydeparkpresbyterian.com,hydeparkpci@gmail.com,02894433168,0,The advancement of religion,General public,Religious activities,
105017,0,First Islandmagee Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"6 Donegall Crescent, Whitehead, Carrickfergus, BT38 9LS",www.firstislandmagee.com,,028 9337 3706,0,The advancement of religion,General public,Religious activities,
105018,0,Tyrone Roman Catholic Board Of Education,07/07/2016,Recently registered,,0,0,0,0,0,"St. Patricks Rc Church, Circular Road, Dungannon, County Tyrone, BT71 6BE",,,02887722775,0,The advancement of education,"Children (5-13 year olds),Youth (14-25 year olds)",Education/training,
105019,0,Voice Of Young People In Care,03/05/2016,Recently registered,,0,0,0,0,0,"9-11 Botanic Avenue, Belfast, BT7 1JG",www.voypic.org,info@voypic.org,02890244888,30526,"The prevention or relief of poverty,The advancement of education,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Youth (14-25 year olds)","Advice/advocacy/information,Education/training,Human rights/equality,Research/evaluation,Youth development",
105020,0,Drive 105Fm Community Radio Ltd,07/04/2016,Recently registered,,0,0,0,0,0,"1 St. Josephs Avenue, Londonderry, BT48 6TH",www.drive105.co.uk,admin@drive105.co.uk,02871278942,60196,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,Other charitable purposes","Adult training,General public,Voluntary and community sector,Volunteers","Arts,Community development,Cross-border/cross-community,Cultural,Education/training,General charitable purposes,Volunteer development",
105021,0,The Friends Of Belfast Cathedral,20/07/2016,Recently registered,,0,0,0,0,0,"4 Sandringham Park, Carrickfergus, County Antrim, BT38 9EP",,joan.thompson3@talktalk.net,028 93329102,0,"The advancement of the arts, culture, heritage or science",General public,Grant making,
105022,0,Erne West Evangelical Church (Congregational),19/05/2016,Recently registered,,0,0,0,0,0,"205 Derrygonnelly Road, Tullymargy, Springfield, Enniskillen, County Fermanagh, BT748FR",http://www.ernewestchurch.co.uk,,02866341956,0,The advancement of religion,"Children (5-13 year olds),General public,Men,Older people,Women,Youth (14-25 year olds)",Religious activities,
105023,0,Roe Valley Residents Association Ltd,23/09/2016,Recently registered,,0,0,0,0,0,"10 Donalds Way, Limavady, County Londonderry, BT49 0AZ",www.rvra.org,karen.rvra@hotmail.co.uk,07849015291,999999,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),Community safety/crime prevention,General public,Interface communities,Men,Mental health,Older people,Parents,Specific areas of deprivation,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,Environment/sustainable development/conservation,General charitable purposes,Medical/health/sickness,Relief of poverty,Volunteer development,Youth development",
105024,0,1St Aughnacloy Squirrels,16/03/2016,Recently registered,,0,0,0,0,0,"2 Sydney Street, Aughnacloy, County Tyrone, BT69 6AE",,,02885548890,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105025,0,Tar Abhaile,11/05/2016,Recently registered,,0,0,0,0,0,"1 West End Park, Derry City, BT48 9JF",,joannemcdaidderry@hotmail.com,028 71 266675,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Addictions (drug/solvent/alcohol abuse),Adult training,Ex-offenders and prisoners,Interface communities,Unemployed/low income","Advice/advocacy/information,Community development,Counselling/support,Education/training,Grant making",
105026,0,Druminnis Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"146 Hamiltonsbawn Road, Armagh, BT60 1LY",www.druminnis.com,,07745785058,0,The advancement of religion,General public,Religious activities,
105027,0,Moyraverty Arts & Drama Society,18/08/2017,Recently registered,,0,0,0,0,0,"10 Moyraverty Centre, Moyraverty, Craigavon, BT65 5HX",,,07808 158582,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Adult training,General public,Youth (14-25 year olds)","Arts,Education/training",
105028,0,Ahorey Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"Aghory Presbyterian Church Hall, Aghory Road, Craigavon, BT62 3SX",,,028 3887 1654,0,The advancement of religion,General public,Religious activities,
105029,0,Carrickfergus And District Senior Gateway Club,10/06/2016,Recently registered,,0,0,0,0,0,"41 Henly Road, Carrickfergus, County Antrim, BT38 8UG",www.carrickdistrictseniorgateway.org,thomas_haighton@yahoo.co.uk,07851280336,0,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Learning disabilities,Older people,Physical disabilities,Sensory disabilities,Voluntary and community sector,Volunteers","Arts,Community development,Cross-border/cross-community,Cultural,Disability,Education/training,Human rights/equality,Sport/recreation,Volunteer development",
105030,0,The Haven Trust,21/03/2016,Recently registered,,0,0,0,0,0,"44A Rickamore Road Upper, Templepatrick, Ballyclare, County Antrim, BT39 0JE",,,02894 432366,0,"The prevention or relief of poverty,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Homelessness,Men","Counselling/support,Relief of poverty,Religious activities",
105031,0,1St Maghaberry Squirrel Drey,03/05/2016,Recently registered,,0,0,0,0,0,"Maghaberry Community Centre, Moira, Craigavon, County Armagh, BT67 0JG",lisburndistrictscouts.org.uk,1stmaghaberrysquirrels@lisburndistrictscouts.org.uk,02892652044,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105032,0,Drumbanagher Parish Ltd,15/04/2016,Recently registered,,0,0,0,0,0,"Church Hill, Drumbanagher, Jerretspass, Newry, County Down, BT35 6FT",,wjagnew@hotmail.com,028 3831 8710,613850,The advancement of citizenship or community development,General public,Community development,
105033,0,Desertcreat Squirrel Group,23/08/2016,Recently registered,,0,0,0,0,0,"Church Hall, 6 Desertcreat Road, Tullyhogue, Cookstown, County Tyrone, BT80 8UJ",,lauraringland@googlemail.co,+02887747275,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105034,0,Dungiven/St Moresius's/Derry/Church Of Ireland,16/03/2016,Recently registered,,0,0,0,0,0,"The Rectory, 91 Cumber Road, Claudy, Co Londonderry, BT47 4JA",,,02871337883,0,The advancement of religion,General public,Religious activities,
105035,0,The Blair Charitable Trust,21/04/2016,Recently registered,,0,0,0,0,0,"92 Hopefield Road, Portrush, County Antrim, BT56 8HF",,tom@blairscaravans.com,02870 823537,0,"The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Asylum seekers/refugees,General public,Homelessness,Older people,Overseas/developing countries,Specific areas of deprivation,Women","Grant making,Overseas aid/famine relief",
105036,0,"Mullymesker Parent, Teacher & Friend Association",21/03/2016,Recently registered,,0,0,0,0,0,"St. Marys Primary School, 70 Arney Road, Mullymesker, Bellanaleck, Enniskillen, BT92 2AB",www.stmaryspsmullymesker.com,mullymeskerptfa@gmail.com,028 66348598,0,The advancement of education,Children (5-13 year olds),"Community development,Education/training",
105037,0,Kindertee Community Playgroup,17/11/2016,Recently registered,,0,0,0,0,0,"Kindertee Playgroup, 131 Main Street, Derrylin, Enniskillen, County Fermanagh, BT92 9LA",,kinderteeplay@btconnect.com,02867742033,0,The advancement of education,"Learning disabilities,Parents,Physical disabilities,Preschool (0-5 year olds)","Education/training,Playgroup/after schools",
105038,0,Cladymore Congregation Of The Presbyterian Church In Ireland,23/09/2016,Recently registered,,0,0,0,0,0,"73 Kilmachugh Road, Mowhan, Armagh, BT60 2EN",,cladymorepci@gmail.com,07907629014,0,The advancement of religion,General public,Religious activities,
105039,0,1St Hillsborough Guides,16/03/2016,Recently registered,,0,0,0,0,0,"7 Eglantine Park, Hillsborough, County Down, BT26 6HL",,hillsboroughguides@gmail.com,02892682696,0,The advancement of citizenship or community development,"Children (5-13 year olds),Youth (14-25 year olds)",Youth development,
105040,0,Ballykelly/St.Findluganus'/Derry/Church Of Ireland,04/07/2016,Recently registered,,0,0,0,0,0,"Finlagen Rectory, 77 Ballykelly Road, Limavady, County Londonderry, BT49 9DS",,jrgiven4468@fsmail.net,02877762743,0,The advancement of religion,General public,Religious activities,
105041,0,Significado Foundation,13/05/2016,Recently registered,,0,0,0,0,0,"Aiken Co, 10 Graham Gardens, Lisburn, County Antrim, BT28 1XE",www.significado-foundation.com,grant@significado-foundation.com,07811341289,633783,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Overseas/developing countries,Unemployed/low income","Advice/advocacy/information,Community development,Education/training,Relief of poverty,Youth development",
105042,0,Ballywalter Flute Band,04/07/2016,Recently registered,,0,0,0,0,0,"1B Victoria Road, Ballyhalbert, Newtownards, County Down, BT22 1DQ",,denisboston@tiscali.co.uk,028 4275 8032,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Men,Older people,Women,Youth (14-25 year olds)","Arts,Education/training,Heritage/historical,Youth development",
105043,0,First Newry Rainbows,18/03/2016,Recently registered,,0,0,0,0,0,"The Guide Association, 30 Station Road, Holywood, Co Down, BT18 0BP",www.girlguidingulster.org.uk,,07745592663,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
105044,0,Garvagh Development Trust,11/05/2016,Recently registered,,0,0,0,0,0,"Gadda, 85-87 Main Street, Garvagh, Coleraine, County Londonderry, BT51 5AB",www.garvaghtown.com,administrator@gadda.co.uk,02829557325,31966,The advancement of citizenship or community development,General public,Rural development,
105045,0,Bangor West Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"Rathmore Road, Bangor, Co.Down, BT19 1DF",http://www.westchurchbangor.org.uk/,office@westchurchbangor.org,02891884921,0,The advancement of religion,General public,Religious activities,
105046,0,Dromore Diocesan Trust,20/04/2016,Recently registered,,0,0,0,0,0,"Bishop's House, 44 Armagh Road, Newry, Co. Down, BT35 6PN",www.dromorediocese.org,curia@dromorediocese.org,02830262444,0,The advancement of religion,"Adult training,Children (5-13 year olds),Ethnic minorities,General public","Accommodation/housing,Advice/advocacy/information,Counselling/support,Education/training,Relief of poverty,Religious activities,Volunteer development,Welfare/benevolent,Youth development",
105047,0,Ardoyne Youth Enterprises,05/04/2016,Recently registered,,0,0,0,0,0,"Ardoyne Youth Club, Old Beltex Mill, 11B Flax Street, Belfast, BT14 7EJ",www.ardoyne.org,whelehan@gmail.com,028 9074 1479,623234,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Interface communities,Preschool (0-5 year olds),Specific areas of deprivation,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Community transport,Education/training,Research/evaluation,Sport/recreation,Youth development",
105048,0,1St Tandragee Squirrels,18/03/2016,Recently registered,,0,0,0,0,0,"Masonic Hall, Tandragee, Craigavon, County Armagh, BT622AF",,,07764374828,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105049,0,Movilla Congregation Of The Presbyterian Church In Ireland,05/08/2016,Recently registered,,0,0,0,0,0,"28 The Oaks, Newtownards, County Down, BT23 8GZ",www.movillapresb95.org,jcarlisle@presbyterianireland.org,02891822352,0,The advancement of religion,General public,Religious activities,
105051,0,Donaghmore Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"21 Cargabane Road, Newry, County Down, BT34 1SB",,,02840651248,0,The advancement of religion,General public,Religious activities,
105052,0,Scarva Street (Banbridge) Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"Church Hall, Scarva Street, Banbridge, BT32 3AD",,,02840623319,0,The advancement of religion,General public,Religious activities,
105053,0,Ryans Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"24A Finnard Road, Rathfriland, County Down, BT34 5BL",,,02840630036,0,The advancement of religion,General public,Religious activities,
105054,0,First Rathfriland Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"37 Newry Street, Rathfriland, Newry, County Down, BT34 5PY",www.1strathfriland.co.uk,trevor.boyd@1strathfriland.co.uk,028 4063 1146,0,The advancement of religion,General public,Religious activities,
105055,0,1St Derriaghy Squirrel Drey,31/03/2016,Recently registered,,0,0,0,0,0,"The Old School, 55 Derriaghy Road, Lisburn, BT28 3SH",www.lisburndistrictscouts,derriaghyscouts@gmail.com,02892 689839,0,"The advancement of education,The advancement of citizenship or community development",Preschool (0-5 year olds),"Cross-border/cross-community,Education/training,Sport/recreation,Youth development",
105056,0,1St Kilbride Squirrels,30/03/2016,Recently registered,,0,0,0,0,0,"9 Mossvale Road, Newtownabbey, County Antrim, BT36 4TT",,1stkilbridesquirrels@gmail.com,075856667623,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105057,0,"The Parent, Teacher And Friends Of St Mary's Christian Brothers' Grammar School",30/03/2016,Recently registered,,0,0,0,0,0,"St. Marys Christian Brothers, Grammar School, 147A Glen Road, Belfast, BT11 8NR",,,07842656588,0,The advancement of education,"Children (5-13 year olds),Parents,Voluntary and community sector,Youth (14-25 year olds)",Education/training,
105058,0,St. Mary's High School Parent Teacher Friend Association,21/03/2016,Recently registered,,0,0,0,0,0,"11 School Road, Newtownhamilton, Newry, County Down, BT350DQ",www.stmarysnewry.com,info@stmarys.newry.ni.sch.uk,07545252929,0,The advancement of education,"Children (5-13 year olds),Youth (14-25 year olds)",Education/training,
105059,0,Downshire Road Congregation Of The Presbyterian Church In Ireland,17/08/2016,Recently registered,,0,0,0,0,0,"62 Corcreaghan Road, Kilkeel, Newry, County Down, BT34 4SL",,,02841765265,0,The advancement of religion,General public,Religious activities,
105060,0,Katesbridge Congregation Of The Presbyterian Church In Ireland,09/08/2016,Recently registered,,0,0,0,0,0,"40 Katesbridge Road, Katesbridge, Banbridge, County Down, BT32 5NQ",,,02840671640,0,The advancement of religion,General public,Religious activities,
105061,0,Benburb Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"41 Main Street, Benburb, Dungannon, County Tyrone, BT71 7LA",,,028 3754 9649,0,The advancement of religion,General public,Religious activities,
105062,0,Magherally Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"37 Tullyhenan Road, Banbridge, County Down, BT32 4EY",,,02840628430,0,The advancement of religion,General public,Religious activities,
105063,0,Poyntzpass Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"28 Meeting Street, Newry, BT35 6SU",http://www.poyntzpasspresbyterian.org.uk/,belfastconfetti@googlemail.com,07779257284,0,The advancement of religion,General public,Religious activities,
105064,0,Strean Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"4 Bramble Wood, Newtownards, County Down, BT23 8WZ",www.strean.org,church@streanpresbyterian.org.uk,02891816225,0,The advancement of religion,General public,Religious activities,
105065,0,Loughaghery Congregation Of The Presbyterian Church In Ireland,15/08/2016,Recently registered,,0,0,0,0,0,"8 Cluntagh Road, Ballynahinch, County Down, BT24 8JA",www.loughagherychurch.org,,02897532425,0,The advancement of religion,General public,Religious activities,
105066,0,Redrock Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"33 Edenaveys Crescent, Armagh, County Armagh, BT60 1NT",www.redrockpresbyterian.co.uk,,07751570176,0,The advancement of religion,General public,Religious activities,
105067,0,Loughbrickland Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"20 Scarva Street, Loughbrickland, Banbridge, County Down, BT32 3NH",,fredcairns20@talktalk.net,02840622929,0,The advancement of religion,General public,Religious activities,
105068,0,Regent Street Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"8 Beverley Crescent, Newtownards, County Down, BT23 7UN",www.regentstreetpc.org,regent.st@btconnect.com,02891818439,0,The advancement of religion,General public,Religious activities,
105069,0,2Nd & 3Rd Rathfriland Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"27 Cross Road, Hilltown, Newry, County Down, BT34 5TF",www.rathfrilandpresbyterian.com,seamus.burke@btinternet.com,02840630312,0,The advancement of religion,General public,Religious activities,
105070,0,Knappagh Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"21 Cavanbellaghy Road, Killylea, Armagh, BT60 4NZ",,,02837568317,0,The advancement of religion,General public,Religious activities,
105071,0,Adam's Camp Ni,18/05/2016,Recently registered,,0,0,0,0,0,"35 Cherryvalley Park, Belfast, BT5 6PN",www.adamscamp.org,gasheadamscamp@hotmail.com,07738292160,0,"The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Learning disabilities,Parents,Preschool (0-5 year olds),Sensory disabilities,Volunteers","Advice/advocacy/information,Arts,Community development,Education/training,Volunteer development",
105072,0,First Dromore Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"12 Diamond Road, Dromore, County Down, BT25 1PQ",,,02892692797,0,The advancement of religion,General public,Religious activities,
105073,0,Ards Boxing Club,06/03/2017,Recently registered,,0,0,0,0,0,"6 North Street, Newtownards, BT23 4DE",,steviequinn40@yahoo.co.uk,07427514437,0,The advancement of amateur sport,"Children (5-13 year olds),Older people,Youth (14-25 year olds)","Sport/recreation,Youth development",
105074,0,Middletown Congregation Of The Presbyterian Church In Ireland,11/10/2016,Recently registered,,0,0,0,0,0,"Annagola House, Glaslough, Co Monaghan, H18yc96",,,00353 4788127,0,The advancement of religion,General public,Religious activities,
105075,0,Second Islandmagee Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"43 Browns Bay Road, Islandmagee, Larne, County Antrim, BT40 3RX",,,028 9338 2259,0,The advancement of religion,General public,Religious activities,
105076,0,Waringstown Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"148 Avenue Road, Lurgan, Craigavon, County Armagh, BT66 7BJ",,info@waringstownpc.org,07900575148,0,The advancement of religion,General public,Religious activities,
105077,0,Limavady / Carrick / Derry / Church Of Ireland,22/03/2016,Recently registered,,0,0,0,0,0,"115 Drumsurn Road, Limavady, County Londonderry, BT490PD",,hdjferry@hotmail.com,02877765806,0,The advancement of religion,General public,Religious activities,
105078,0,Lissara Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"7 Church Road, Crossgar, Downpatrick, County Down, BT30 9HR",www.lissara.com,,02844830237,0,The advancement of religion,General public,Religious activities,
